code,name,district,percentage_pass,percentage_pass_round,national_rank,candidates_last,number_pass_last,percentage_pass_last,national_rank_last,school_type,longitude,latitude,ownership,ward,number_enrolled,number_teaching_staff,ratio,number_non_teaching_staff_by_school,number_non_teaching_staff_by_govt,region,candidates,number_pass,percentage_pass_change
PS0504-080,Nyaishozi Primary School,Karagwe,56.41025641,56,5863,70,35,50,2599,primary,,,government,Nyaishozi,620,21,30,,0,Kagera,78,44,6.41025641
PS0504-086,Nyakasana Primary School,Karagwe,40,40,9380,82,33,40.24390244,3692,primary,,,government,Ihanda,452,21,22,,0,Kagera,75,30,-0.243902439
PS0506-007,Kabanga Primary School,Ngara,97.36842105,97,565,59,49,83.05084746,988,primary,,,government,Kabanga,727,21,35,,,Kagera,38,37,14.3175736
PS0506-066,Rulenge Primary School,Ngara,88.57142857,89,597,104,62,59.61538462,1892,primary,,,government,Rulenge,1068,21,51,,,Kagera,70,62,28.95604396
PS0506-082,Nakatunga Primary School,Ngara,100,100,182,64,59,92.1875,378,primary,,,government,Ngaramjini,776,21,37,,,Kagera,61,61,7.8125
PS0601-019,Kidyama Primary School,Kasulu,60.86956522,61,4759,53,6,11.32075472,10277,primary,,,government,Kigondo,600,21,29,1,0,Kigoma,46,28,49.5488105
PS0601-057,Mwenge Primary School,Kasulu,60,60,6593,81,19,23.45679012,6904,primary,,,government,Kumsenga,571,21,27,1,0,Kigoma,45,27,36.54320988
PS0602-072,Mapinduzi Primary School,Kibondo,76.62337662,77,1762,89,44,49.43820225,2885,primary,,,government,Kibondo,736,21,35,,0,Kigoma,77,59,27.18517438
PS0603-047,Msimba Primary School,Kigoma,33.33333333,33,9279,43,10,23.25581395,7502,primary,,,government,Mungonya,787,21,37,1,0,Kigoma,30,10,10.07751938
PS0603-162,Mayange Primary School,Kigoma,20,20,12456,47,3,6.382978723,10295,primary,,,government,Matendo,762,21,36,1,0,Kigoma,50,10,13.61702128
PS0701-160,Kengereka Primary School,Hai,69.66292135,70,4598,85,45,52.94117647,2330,primary,,,government,Hai Mjini,583,21,28,2,,Kilimanjaro,89,62,16.72174488
PS0701-169,Bomani Primary School,Hai,88.88888889,89,2552,39,26,66.66666667,1237,primary,37.13959,-3.3308885,government,Hai Mjini,446,21,21,2,,Kilimanjaro,54,48,22.22222222
PS0702-246,Ebenezer Primary School,Moshi,96.875,97,1226,28,28,100,59,primary,,,private,Kimochi,393,21,19,25,0,Kilimanjaro,32,31,-3.125
PS0703-003,Karanga Primary School,Moshi Municipal,92.72727273,93,1420,71,39,54.92957746,2095,primary,,,government,Soweto,444,21,21,2,0,Kilimanjaro,55,51,37.79769526
PS0703-006,Kilimanjaro Primary School,Moshi Municipal,100,100,812,96,84,87.5,768,primary,,,government,Kilimanjaro,654,21,31,2,0,Kilimanjaro,86,86,12.5
PS0703-009,Magereza Primary School,Moshi Municipal,68.03278689,68,4713,81,79,97.5308642,425,primary,,,government,Karanga,756,21,36,2,0,Kilimanjaro,122,83,-29.49807731
PS0703-011,Mawenzi Primary School,Moshi Municipal,88.57142857,89,2111,113,75,66.37168142,1528,primary,,,government,Mawenzi,720,21,34,2,0,Kilimanjaro,105,93,22.19974716
PS0703-019,Rau Primary School,Moshi Municipal,92.85714286,93,1303,62,43,69.35483871,1848,primary,,,government,Mfumuni,628,21,30,2,0,Kilimanjaro,84,78,23.50230415
PS0706-084,Mbuyuni Primary School,Same,51.85185185,52,5783,94,40,42.55319149,4301,primary,,,government,Hedaru,965,21,46,,0,Kilimanjaro,108,56,9.298660363
PS0901-001,Balili 'a' Primary School,Bunda,41.4893617,41,8397,93,12,12.90322581,9324,primary,,,government,Balili,855,21,41,,,Mara,94,39,28.5861359
PS0901-138,Bigutu Primary School,Bunda,42.70833333,43,8064,97,27,27.83505155,5734,primary,33.8537995,-2.0216289,government,Bunda Stoo,863,21,41,,,Mara,96,41,14.87328179
PS0903-005,Kamunyonge 'a' Primary School,Musoma Municipal,77.87610619,78,2092,95,54,56.84210526,2099,primary,,,government,Kamunyonge,1217,21,58,,,Mara,113,88,21.03400093
PS0905-041,Kibumaye Primary School,Tarime,62.82051282,63,5692,77,12,15.58441558,7791,primary,,,government,,864,21,41,,,Mara,78,49,47.23609724
PS0905-167,Sirari Primary School,Tarime,91.01123596,91,1205,78,62,79.48717949,915,primary,34.4722839,-1.2689185,government,Sirari,793,21,38,1,,Mara,89,81,11.52405647
PS0905-213,Nyairoma Primary School,Tarime,48.42105263,48,6657,67,27,40.29850746,4120,primary,34.4722839,-1.2689185,government,Sirari,694,21,33,1,,Mara,95,46,8.122545169
PS1008-011,Igomelo Primary School,Mbarali,77.64705882,78,2791,105,26,24.76190476,7236,primary,,,government,Lugelele,817,21,39,,,Mbeya,85,66,52.88515406
PS1008-065,Rujewa Primary School,Mbarali,41.95804196,42,7685,100,39,39,4144,primary,,,government,Rujewa,894,21,43,2,,Mbeya,143,60,2.958041958
PS1101-029,Kiyongwile Primary School,Kilombero,59.7826087,60,6416,73,10,13.69863014,9832,primary,,,government,Ifakara'b',658,21,31,1,0,Morogoro,92,55,46.08397856
PS1101-031,Lipangalala Primary School,Kilombero,80.95238095,81,3488,107,12,11.21495327,9984,primary,36.6847994,-8.1516353,government,Ifakara'b',719,21,34,1,0,Morogoro,63,51,69.73742768
PS1104-027,Mwenge Primary School,Morogoro Municipal,43.58974359,44,7239,65,13,20,5494,primary,,,government,Kingolwira,550,21,26,1,0,Morogoro,78,34,23.58974359
PS1105-018,Isongo Primary School,Ulanga,50,50,7118,80,31,38.75,5931,primary,36.7138108,-8.7266323,government,Isongo,562,21,27,,,Morogoro,52,26,11.25
PS1105-063,Mwembeni Primary School,Ulanga,95.38461538,95,879,84,65,77.38095238,1269,primary,36.183336,-8.9427793,government,Igawa,1107,21,53,,,Morogoro,65,62,18.003663
PS1105-075,Ukwama Primary School,Ulanga,88.67924528,89,2059,42,26,61.9047619,2396,primary,36.7098569,-8.6717101,government,Vigoi,340,21,16,,,Morogoro,53,47,26.77448338
PS1203-007,Magomeni Primary School,Mtwara Municipal,48.35164835,48,7643,66,20,30.3030303,5913,primary,,,government,Ufukoni,715,21,34,1,,Mtwara,91,44,18.04861805
PS1204-018,Julia Primary School,Newala,27.63157895,28,9815,64,29,45.3125,3025,primary,,,government,Mtonya,676,21,32,,0,Mtwara,76,21,-17.68092105
PS1204-020,Karume Primary School,Newala,82.92682927,83,1754,72,60,83.33333333,672,primary,,,government,Mtonya,729,21,35,,0,Mtwara,82,68,-0.406504065
PS1204-021,Kiduni Primary School,Newala,63.15789474,63,4170,16,8,50,3635,primary,,,government,Mtonya,222,21,11,,0,Mtwara,19,12,13.15789474
PS1204-091,Nakahako Primary School,Newala,14.58333333,15,13700,35,2,5.714285714,11713,primary,,,government,Nakahako,424,21,20,,0,Mtwara,48,7,8.869047619
PS1205-108,Tandahimba Primary School,Tandahimba,95.3125,95,1112,61,49,80.32786885,1108,primary,,,government,Tandahimba,669,21,32,1,,Mtwara,64,61,14.98463115
PS1301-004,Bugungumuki Primary School,Ilemela,83.07692308,83,2301,88,18,20.45454545,,primary,,,government,Kirumba,1034,21,49,,0,Mwanza,65,54,62.62237762
PS1301-068,Nyamhongolo Primary School,Ilemela,55.55555556,56,4496,105,25,23.80952381,,primary,,,government,Buswelu,1122,21,53,,0,Mwanza,90,50,31.74603175
PS1304-028,Kasota Primary School,Mwanza Municipal,77.27272727,77,2662,60,38,63.33333333,4236,primary,,,government,Mahina,965,21,46,,,Mwanza,88,68,13.93939394
PS1306-004,Bugalama Primary School,Sengerema,60.52631579,61,5127,85,32,37.64705882,3448,primary,,,government,Katunguru,715,21,34,,0,Mwanza,76,46,22.87925697
PS1306-120,Nyamizeze Primary School,Sengerema,47.5,48,7197,80,29,36.25,4825,primary,,,government,Nyamazugo,914,21,44,,0,Mwanza,40,19,11.25
PS1404-026,Msufini Primary School,Mafia,31.94444444,32,10455,67,5,7.462686567,10703,primary,,,government,Kilindoni,636,21,30,,,Pwani,72,23,24.48175788
PS1501-077,Mwazye Primary School,Kalambo,26.85185185,27,11670,22,11,50,,primary,,,government,Kalembe,993,21,47,,0,Rukwa,108,29,-23.14814815
PS1504-006,Izia Primary School,Sumbawanga Municipal,63.30275229,63,4728,120,31,25.83333333,6847,primary,,,government,Izia,964,21,46,1,0,Rukwa,109,69,37.46941896
PS1604-026,Songea Primary School,Songea Municipal,55.55555556,56,5659,99,31,31.31313131,4810,primary,,,government,Majengo,790,21,38,,0,Ruvuma,81,45,24.24242424
PS1604-030,Mbulani Primary School,Songea Municipal,47.94520548,48,7932,93,13,13.97849462,9337,primary,,,government,Ruvuma,1007,21,48,,0,Ruvuma,73,35,33.96671086
PS1703-055,Maganzo Primary School,Kishapu,82.20338983,82,2336,56,2,3.571428571,,primary,,,government,Songwa,1383,21,66,,0,Shinyanga,118,97,78.63196126
PS1704-023,Lubaga Primary School,Shinyanga Municipal,94.28571429,94,1928,70,15,21.42857143,,primary,,,government,Lubaga,474,21,23,2,0,Shinyanga,35,33,72.85714286
PS1802-045,Mwanzi Primary School,Manyoni,73.07692308,73,4057,28,5,17.85714286,5830,primary,,,government,Manyoni,214,21,10,3,0,Singida,26,19,55.21978022
PS1803-069,Mtinko Primary School,Singida,85.22727273,85,1623,84,44,52.38095238,2910,primary,,,government,Mtinko,1059,21,50,1,0,Singida,88,75,32.84632035
PS2002-097,Mombo Primary School,Korogwe,94.02985075,94,1423,48,9,18.75,1438,primary,,,government,Mombo,605,21,29,,,Tanga,67,63,75.27985075
PS2009-006,Kilole Primary School,Korogwe,100,100,1597,76,46,60.52631579,2001,primary,38.4651198,-5.1718124,government,Kilole,576,21,27,,,Tanga,50,50,39.47368421
PS2101-077,Riroda Primary School,Babati,65.30612245,65,5472,121,25,20.66115702,7207,primary,,,government,Riroda,972,21,46,,,Manyara,98,64,44.64496542
PS2103-005,Engusero Primary School,Kiteto,55.71428571,56,5682,116,15,12.93103448,11970,primary,36.4575657,-5.5408775,government,Engusero,906,21,43,3,0,Manyara,70,39,42.78325123
PS2103-018,Msente Primary School,Kiteto,96.61016949,97,678,96,20,20.83333333,7732,primary,36.5837176,-5.3112034,government,Bwagamoyo,483,21,23,3,0,Manyara,59,57,75.77683616
PS2104-013,Dongobesh Primary School,Mbulu,64.70588235,65,4435,77,17,22.07792208,6754,primary,,,government,Dongobesh,648,21,31,4,,Manyara,68,44,42.62796028
PS2401-013,Butambala Primary School,Bukombe,90.16393443,90,1861,,,,,primary,,,government,Igulwa,601,21,29,1,0,Geita,61,55,
PS2401-065,Uyovu Primary School,Bukombe,52.68817204,53,5975,,,,,primary,,,government,Uyovu,890,21,42,1,0,Geita,93,49,
PS2401-074,Umoja Primary School,Bukombe,80.37383178,80,2215,,,,,primary,,,government,Igulwa,786,21,37,1,0,Geita,107,86,
PS2402-121,Nyarutembo Primary School,Chato,63.41463415,63,5436,,,,,primary,31.593597,-2.9283261,government,Nyarutembo,1072,21,51,,,Geita,82,52,
PS2404-086,Makurugusi Primary School,Geita,74.25742574,74,3453,,,,,primary,,,government,Nkome,1407,21,67,,0,Geita,101,75,
PS2405-073,Nyerere Primary School,Mbogwe,81.31868132,81,2301,,,,,primary,,,government,Nyakafulu,768,21,37,,0,Geita,91,74,
PS2501-002,Ikuba Primary School,Mlele,82.60869565,83,1877,,,,,primary,31.2395641,-7.0962762,government,Ikuba,635,21,30,,,Katavi,46,38,
PS2501-008,Kakuni Primary School,Mlele,27.11864407,27,12071,,,,,primary,,,government,Kibaoni,774,21,37,,,Katavi,59,16,
PS2502-006,Kashaulili Primary School,Mpanda,66,66,4374,,,,,primary,,,government,Kashaulili,711,21,34,,,Katavi,50,33,
PS2502-008,Katavi Primary School,Mpanda,60.50420168,61,4440,,,,,primary,,,government,Makanyagio,1006,21,48,,,Katavi,119,72,
PS2502-014,Mkapa Primary School,Mpanda,67.44186047,67,4380,,,,,primary,,,government,Kawajense,1000,21,48,,,Katavi,86,58,
PS2502-015,Mpanda Primary School,Mpanda,51.03448276,51,7454,,,,,primary,,,government,Kakese,1450,21,69,,,Katavi,145,74,
PS2502-017,Muungano Primary School,Mpanda,52.38095238,52,6814,,,,,primary,,,government,Mpanda Hotel,856,21,41,,,Katavi,105,55,
PS2502-019,Mwangaza Primary School,Mpanda,72.44897959,72,3757,,,,,primary,,,government,,1150,21,55,,,Katavi,98,71,
PS2502-020,Nsemulwa Primary School,Mpanda,51.78571429,52,6081,,,,,primary,,,government,Nsemulwa,841,21,40,,,Katavi,56,29,
PS2502-023,Uhuru Primary School,Mpanda,96.49122807,96,1993,,,,,primary,,,government,Kashaulili,920,21,44,,,Katavi,57,55,
PS2503-005,Ifukutwa Primary School,Mpanda,55.55555556,56,5690,,,,,primary,,,government,Mpandandogo,513,21,24,,0,Katavi,27,15,
PS2503-009,Ikola Primary School,Mpanda,24.7311828,25,10903,,,,,primary,,,government,Ikola,1030,21,49,,0,Katavi,93,23,
PS2503-027,Karema Primary School,Mpanda,27.90697674,28,11524,,,,,primary,,,government,Karema,1073,21,51,,0,Katavi,86,24,
PS2504-021,Kasokola Primary School,Nsimbo,39.02439024,39,7867,,,,,primary,,,private,Kasokola,372,21,18,,0,Katavi,41,16,
PS2603-001,Azimio Primary School,Makambako,100,100,679,,,,,primary,,,government,Mwembetogwa,814,21,39,2,0,Njombe,78,78,
PS2701-023,Mhango Primary School,Bariadi,47.61904762,48,6127,,,,,primary,33.893976,-2.7395394,government,Mhango,875,21,42,,,Simiyu,84,40,
PS2701-026,Ngashanda Primary School,Bariadi,72.72727273,73,4049,,,,,primary,34.0323158,-2.7960716,government,Malambo,576,21,27,,,Simiyu,44,32,
PS2701-029,Nyakabindi Primary School,Bariadi,28.16901408,28,12131,,,,,primary,33.9843421,-2.6431396,government,Nyakabindi,789,21,38,,,Simiyu,71,20,
S0105,Chidya Secondary School,Masasi,76,76,544,86,68,79.06976744,234,secondary,,,government,Chiwata,361,21,17,0,11,Mtwara,92,70,-3.069767442
S0217,Peramiho Girls Secondary School,Songea,100,100,28,63,63,100,87,secondary,,,private,Peramiho,309,21,15,15,0,Ruvuma,50,50,0
S0354,Jitengeni Secondary School,Same,71,71,1782,166,50,30.12048193,2363,secondary,,,private,Kihurio,392,21,19,10,10,Kilimanjaro,120,85,40.87951807
S0406,Kashozi Secondary School,Bukoba,59,59,2116,173,73,42.19653179,1289,secondary,,,government,Katerero,607,21,29,0,0,Kagera,104,61,16.80346821
S0455,Tweyambe Secondary School,Missenyi,96,96,616,101,88,87.12871287,412,secondary,,,private,Ishozi,513,21,24,17,0,Kagera,114,110,8.871287129
S0488,Rutabo Secondary School,Muleba,79,79,1067,92,44,47.82608696,1195,secondary,,,government,Kamachumu,630,21,30,12,8,Kagera,103,81,31.17391304
S0558,Mwanga Secondary School,Mwanga,100,100,198,85,85,100,214,secondary,37.5857116,-3.6601368,private,Mwanga,576,21,27,4,0,Kilimanjaro,69,69,0
S0630,Nyegina Secondary School,Musoma,100,100,266,77,76,98.7012987,191,secondary,,,private,Nyegina,478,21,23,18,0,Mara,102,102,1.298701299
S0795,Kisale Secondary School,Rombo,70,70,1217,188,98,52.12765957,751,secondary,,,government,Kisale,635,21,30,4,0,Kilimanjaro,125,87,17.87234043
S0813,Mahida Secondary School,Rombo,51,51,2869,178,60,33.70786517,2445,secondary,,,government,Mahida,326,21,16,3,0,Kilimanjaro,72,37,17.29213483
S0865,Igota Secondary School,Ulanga,38,38,3485,100,24,24,3080,secondary,36.6767501,-8.4106156,government,Lupiro,297,21,14,,,Morogoro,48,18,14
S0871,Kabale Secondary School,Bukoba,53,53,2552,100,25,25,2601,secondary,,,government,Karabagaine,365,21,17,0,0,Kagera,66,35,28
S0933,Bashnet Secondary School,Babati,70,70,1670,77,35,45.45454545,1557,secondary,,,government,Nar,433,21,21,7,0,Manyara,89,62,24.54545455
S0954,Mkongo Secondary School,Rufiji,41,41,3424,110,23,20.90909091,3491,secondary,,,government,Mkongo,437,21,21,7,,Pwani,83,34,20.09090909
S1019,Kisangura Secondary School,Serengeti,45,45,3292,86,20,23.25581395,3250,secondary,,,government,Kisangura,443,21,21,5,,Mara,89,40,21.74418605
S1084,Vuma Secondary School,Sumbawanga,46,46,3293,79,21,26.58227848,2750,secondary,,,government,Mtowisa,435,21,21,4,0,Rukwa,71,33,19.41772152
S1152,Sumaye Buziku Secondary School,Chato,53,53,2348,77,32,41.55844156,1738,secondary,,,government,Buziku,445,21,21,,,Geita,68,36,11.44155844
S1228,Mtapika Secondary School,Masasi,28,28,4066,68,13,19.11764706,3338,secondary,,,government,Mwenge Mtapika,324,21,15,0,3,Mtwara,43,12,8.882352941
S1341,Nakaguru Secondary School,Kilombero,27,27,4044,132,20,15.15151515,3788,secondary,,,government,Mchombe,459,21,22,5,0,Morogoro,85,23,11.84848485
S1513,Somsom Secondary School,Moshi,48,48,2214,111,55,49.54954955,1244,secondary,,,government,Kibosho Magh.,419,21,20,6,0,Kilimanjaro,96,46,-1.54954955
S1693,Iwemba Secondary School,Kilosa,19,19,4195,103,8,7.766990291,4053,secondary,37.0033593,-7.5828981,government,Kidodi,426,21,20,1,0,Morogoro,120,23,11.23300971
S1717,Bahi Secondary School,Bahi,37,37,3742,63,11,17.46031746,3798,secondary,,,government,Bahi,263,21,13,0,0,Dodoma,67,25,19.53968254
S1750,Kaseme Secondary School,Geita,79,79,1018,81,37,45.67901235,1679,secondary,,,government,Kaseme,568,21,27,1,0,Geita,67,53,33.32098765
S1859,Mshikamano Secondary School,Musoma Municipal,38,38,3390,126,51,40.47619048,2296,secondary,,,government,Nyakato,543,21,26,,,Mara,155,59,-2.476190476
S1867,Miangalua Secondary School,Sumbawanga,78,78,1871,60,22,36.66666667,2707,secondary,,,government,Miangalua,353,21,17,4,0,Rukwa,51,40,41.33333333
S1920,Suumu Secondary School,Siha,59,59,2022,64,28,43.75,1533,secondary,37.1329172,-3.1876291,government,Kashashi,303,21,14,0,0,Kilimanjaro,85,50,15.25
S1997,Olele Secondary School,Rombo,73,73,1453,173,73,42.19653179,1750,secondary,,,government,Olele,433,21,21,3,0,Kilimanjaro,73,53,30.80346821
S2053,Chita Secondary School,Kilombero,12,12,4324,144,26,18.05555556,3583,secondary,35.9314553,-8.5159657,government,Chita,512,21,24,4,0,Morogoro,129,15,-6.055555556
S2153,Aquinas Secondary School,Mtwara Municipal,100,100,145,43,43,100,217,secondary,,,private,Ufukoni,340,21,16,22,,Mtwara,56,56,0
S2281,Mtandi Secondary School,Masasi,46,46,3164,111,25,22.52252252,2923,secondary,,,government,Mtandi,440,21,21,2,0,Mtwara,84,39,23.47747748
S2296,Msanzi Secondary School,Kalambo,69,69,1653,102,34,33.33333333,2523,secondary,,,government,Msanzi,309,21,15,0,0,Rukwa,51,35,35.66666667
S2304,Sejeli Secondary School,Kongwa,63,63,2299,47,15,31.91489362,2483,secondary,36.3345258,-6.1048597,government,Sejeli,305,21,15,,1,Dodoma,30,19,31.08510638
S2472,Minepa Secondary School,Ulanga,21,21,4193,80,16,20,3527,secondary,36.6859116,-8.2603815,government,Minepa,426,21,20,,,Morogoro,67,14,1
S2612,Ng'apa Secondary School,Lindi Municipal,75,75,1660,52,24,46.15384615,1721,secondary,,,government,Ng'apa,185,21,9,,1,Lindi,40,30,28.84615385
S2679,Ilambilole Secondary School,Iringa,73,73,1384,85,55,64.70588235,502,secondary,,,government,Nduli,317,21,15,3,,Iringa,77,56,8.294117647
S2739,Mtombozi Secondary School,Morogoro,60,60,1367,30,10,33.33333333,1927,secondary,,,government,Mtombozi,169,21,8,1,0,Morogoro,10,6,26.66666667
S2759,Mkera Secondary School,Ilala Municipal,16,16,4290,96,10,10.41666667,3971,secondary,-7.028957228,39.1282654,,Segerea,280,21,13,3,0,Dar es Salaam,38,6,5.583333333
S2809,Malambo Secondary School,Ngorongoro,58,58,2187,167,89,53.29341317,1328,secondary,35.599864,-2.518888,government,Malambo,360,21,17,11,,Arusha,111,64,4.706586826
S2875,Nyabisare Secondary School,Musoma Municipal,36,36,3360,66,16,24.24242424,3411,secondary,,,government,,418,21,20,,,Mara,97,35,11.75757576
S3068,Rasesa Secondary School,Moshi,67,67,1342,128,53,41.40625,1832,secondary,,,government,Marangu Mashariki,511,21,24,0,0,Kilimanjaro,73,49,25.59375
S3074,Tpc Secondary School,Moshi,57,57,2030,114,46,40.35087719,1295,secondary,,,government,Arusha Chini,393,21,19,0,0,Kilimanjaro,89,51,16.64912281
S3101,Keni Secondary School,Rombo,75,75,818,154,81,52.5974026,832,secondary,37.6082713,-3.2325751,government,Aleni,529,21,25,3,0,Kilimanjaro,87,65,22.4025974
S3109,Kalema Secondary School,Bukoba,43,43,3108,102,28,27.45098039,2871,secondary,,,government,Bugabo,399,21,19,2,0,Kagera,69,30,15.54901961
S3194,Sanje Secondary School,Kilombero,34,34,3628,69,5,7.246376812,4095,secondary,36.9326548,-7.774278,government,Sanje,162,21,8,2,0,Morogoro,35,12,26.75362319
S3205,Wami Secondary School,Mvomero,27,27,4045,100,19,19,3574,secondary,37.5395116,-6.4134266,government,Dakawa,444,21,21,0,1,Morogoro,85,23,8
S3256,Bwanga Secondary School,Chato,67,67,1423,134,77,57.46268657,1171,secondary,,,government,Bwanga,590,21,28,,,Geita,86,58,9.537313433
S3271,Ijuganyondo Secondary School,Bukoba Municipal,54,54,2945,80,22,27.5,2916,secondary,,,government,Ijuganyondo,172,21,8,,2,Kagera,48,26,26.5
S3303,Uduru Secondary School,Hai,33,33,3154,60,15,25,3023,secondary,37.2291648,-3.2508274,government,Machame Kaskazini,445,21,21,2,,Kilimanjaro,61,20,8
S3409,Bweni Secondary School,Mafia,61,61,2654,56,21,37.5,2075,secondary,,,government,Kanga,131,21,6,,,Pwani,38,23,23.5
S3419,Mtakanini Secondary School,Namtumbo,56,56,2885,20,10,50,1539,secondary,,,government,Msindo,121,21,6,,,Ruvuma,18,10,6
S3420,Rwinga Secondary School,Namtumbo,29,29,3712,56,16,28.57142857,3052,secondary,,,government,Rwinga,336,21,16,,,Ruvuma,56,16,0.428571429
S3470,Abbey Secondary School,Masasi,100,100,12,55,55,100,32,secondary,,,private,Mwena,441,21,21,35,0,Mtwara,53,53,0
S3479,Nala Secondary School,Dodoma Municipal,67,67,2447,37,8,21.62162162,3629,secondary,,,government,Nala,217,21,10,2,,Dodoma,42,28,45.37837838
S3560,Uchile Secondary School,Sumbawanga,66,66,1138,89,34,38.20224719,2164,secondary,,,government,Laela,324,21,15,4,0,Rukwa,71,47,27.79775281
S3595,Kanegere Secondary School,Mbogwe,91,91,824,55,37,67.27272727,930,secondary,,,government,Bukandwe,294,21,14,0,0,Geita,33,30,23.72727273
S3603,Nyamoko Secondary School,Serengeti,59,59,2331,113,49,43.36283186,1751,secondary,34.6194609,-1.7969244,government,Nyamoko,324,21,15,3,,Mara,63,37,15.63716814
S3688,Kishengweni Secondary School,Mwanga,68,68,1429,107,47,43.92523364,1397,secondary,,,government,Kifula,437,21,21,4,0,Kilimanjaro,94,64,24.07476636
S3838,Peace House Secondary School,Arusha Municipal,100,100,159,61,61,100,206,secondary,36.622493,-3.393517,private,Olasiti,549,21,26,18,0,Arusha,127,127,0
S3873,Uparo Secondary School,Moshi,65,65,1597,111,39,35.13513514,2036,secondary,,,government,Kirua Kusini,360,21,17,0,0,Kilimanjaro,57,37,29.86486486
S3915,Chikonji Secondary School,Lindi Municipal,86,86,2063,31,11,35.48387097,2660,secondary,,,government,Chikonji,121,21,6,,1,Lindi,7,6,50.51612903
S4218,Rev.A.Bungwa Secondary School,Kasulu,99,99,369,79,78,98.73417722,297,secondary,,,private,Murusi,695,21,33,23,0,Kigoma,211,208,0.265822785
S4355,Maendeleo Secondary School,Kinondoni Municipal,26,26,4175,99,2,2.02020202,4121,secondary,-6.704514288,39.1352495,private,Wazo,413,21,20,0,0,Dar es Salaam,57,15,23.97979798
S4567,Sacred Heart Secondary School,Muleba,99,99,395,87,78,89.65517241,333,secondary,,,private,Izigo,330,21,16,9,,Kagera,79,78,9.344827586
S4679,Nkomolo Secondary School,Nkasi,87,87,877,32,11,34.375,2814,secondary,,,government,Nkomolo,296,21,14,3,0,Rukwa,54,47,52.625
S4707,Zanka Secondary School,Bahi,70,70,2087,28,6,21.42857143,3178,secondary,35.7544559,-5.8578634,government,Zanka,182,21,9,0,0,Dodoma,20,14,48.57142857
S5053,,,100,100,209,,,,,,,,,Chanji,168,21,8,27,48,,11,11,
PS0102-012,Nadosoito Primary School,Arusha Municipal,82.20338983,82,2503,147,33,22.44897959,8187,primary,36.680218,-3.495651,government,Terrat,593,20,30,1,,Arusha,118,97,59.75441024
PS0103-010,Endabash Primary School,Karatu,43.47826087,43,9496,100,15,15,10096,primary,35.616988,-3.584398,government,Endabash,684,20,34,,,Arusha,69,30,28.47826087
PS0104-016,Namanga Primary School,Longido,75.34246575,75,3591,168,30,17.85714286,8039,primary,36.787424,-2.55175,government,Namanga,723,20,36,3,0,Arusha,146,110,57.4853229
PS0105-001,Akeri Primary School,Meru,58.18181818,58,5446,51,22,43.1372549,3376,primary,,,government,Akeri,439,20,22,,0,Arusha,55,32,15.04456328
PS0105-032,Maji Ya Chai Primary School,Meru,69.64285714,70,4269,61,59,96.72131148,397,primary,36.917536,-3.365675,government,Maji Ya Chai,609,20,30,,0,Arusha,56,39,-27.07845433
PS0105-035,Malula Primary School,Meru,97.33333333,97,304,89,46,51.68539326,2198,primary,,,government,Kingori,576,20,29,,0,Arusha,75,73,45.64794007
PS0105-061,Ngyani Primary School,Meru,63.15789474,63,6324,70,11,15.71428571,7166,primary,36.826611,-3.338716,government,Nkoaranga,658,20,33,,0,Arusha,57,36,47.44360902
PS0105-081,Seela Primary School,Meru,26.41509434,26,11570,49,23,46.93877551,4169,primary,36.787251,-3.332842,government,Kingori,728,20,36,,0,Arusha,106,28,-20.52368117
PS0107-011,Loliondo Primary School,Ngorongoro,59.01639344,59,6073,85,18,21.17647059,9917,primary,35.624061,-2.052242,government,Orgosorok,377,20,19,3,,Arusha,61,36,37.83992285
PS0202-016,Kisutu Primary School,Ilala Municipal,90,90,1742,48,41,85.41666667,675,primary,39.28572401,-6.81671742,government,Kisutu,570,20,29,1,0,Dar es Salaam,40,36,4.583333333
PS0204-070,Grace Primary School,Kinondoni Municipal,96.42857143,96,613,60,58,96.66666667,392,primary,39.22347074,-6.789312199,private,Sinza,522,20,26,10,0,Dar es Salaam,56,54,-0.238095238
PS0302-016,Msalato Primary School,Dodoma Municipal,60.41666667,60,5929,57,31,54.38596491,2625,primary,,,government,Msalato,685,20,34,1,1,Dodoma,96,58,6.030701754
PS0302-083,Mlimwa 'c' Primary School,Dodoma Municipal,76,76,2252,55,17,30.90909091,4310,primary,,,government,Miyuji,907,20,45,1,1,Dodoma,50,38,45.09090909
PS0303-076,Kondoa Primary School,Kondoa,90.69767442,91,1988,71,48,67.6056338,1383,primary,,,government,Chemchem,295,20,15,1,0,Dodoma,43,39,23.09204062
PS0305-031,Mlali 'b' Primary School,Kongwa,37.37373737,37,9059,106,27,25.47169811,7444,primary,,,government,Mlali,1094,20,55,,1,Dodoma,99,37,11.90203926
PS0305-053,Songambele Primary School,Kongwa,59.22330097,59,6571,126,30,23.80952381,6650,primary,36.4506339,-5.8925444,government,Songambele,1014,20,51,,1,Dodoma,103,61,35.41377716
PS0306-087,Mvumi Primary School,Chamwino,87.73584906,88,1203,119,104,87.39495798,627,primary,,,government,M/misheni,958,20,48,4,0,Dodoma,106,93,0.340891073
PS0401-010,Kibwabwa Primary School,Iringa Municipal,81.25,81,2320,87,49,56.32183908,1983,primary,,,government,Kitwiru,783,20,39,,0,Iringa,96,78,24.92816092
